URL,Title,Description,Price_USDC,Network
https://minifetch.com/api/v1/x402/extract/url-preview,Url Preview,"Extracts a light, token-efficient preview of a URL: title, description, and image (only)",$0.001000,base
https://x402.mode.network/ta/indicators,Indicators,Mode-x402 is a complete library of signals and indicators for intelligent trading agents,$0.001000,base
http://acp-x402.virtuals.io/acp-budget,Acp Budget,acp job budget ($0.001),$0.001000,base
https://dev-api2.xhashtag.io/api/v1/proxy/0ccb65df-d937-423c-946b-6967bf94a2f7/twitter-reach,Twitter Reach,Trend Cabal - X Swarm View Blast,$0.001000,solana
http://x402.silverbackdefi.app/api/v1/trending-tokens,Trending Tokens,No description provided,$0.001000,eip155:8453
http://x402.silverbackdefi.app/api/v1/gas-price,Gas Price,No description provided,$0.001000,eip155:8453
http://x402.silverbackdefi.app/api/v1/dex-metrics,Dex Metrics,No description provided,$0.001000,eip155:8453
http://x402.silverbackdefi.app/api/v1/top-coins,Top Coins,No description provided,$0.001000,eip155:8453
http://x402.silverbackdefi.app/api/v1/top-protocols,Top Protocols,No description provided,$0.001000,eip155:8453
http://x402.silverbackdefi.app/api/v1/top-pools,Top Pools,No description provided,$0.001000,eip155:8453
http://x402.silverbackdefi.app/api/v1/swap-quote,Swap Quote,No description provided,$0.001000,eip155:8453
https://minifetch.com/api/v1/x402/extract/url-content,Url Content,"Extracts a clean, token-efficient content summary as markdown from a URL. Removes ads, nav, scripts. Much more efficient than raw HTML fetches for LLMs",$0.002000,base
https://minifetch.com/api/v1/x402/extract/url-metadata,Url Metadata,"Extracts rich structured metadata from a URL: title, description, og/twitter tags, json-ld, images, headings, response headers, and more. Perfect for SEO research or metadata indexing & analysis",$0.002000,base
http://x402.silverbackdefi.app/api/v1/pool-analysis,Pool Analysis,No description provided,$0.002000,eip155:8453
http://x402.silverbackdefi.app/api/v1/defi-yield,Defi Yield,No description provided,$0.002000,eip155:8453
http://news-summarizer-x402.vercel.app/summarize,Summarize,No description provided,$0.005000,base
https://capable-grace-production-ab1c.up.railway.app/data/momentum,Momentum,No description provided,$0.005000,eip155:8453
https://x402-ai-starter-demo.vercel.app/api/add,Add,Access to protected content,$0.005000,base-sepolia
http://x402.silverbackdefi.app/api/v1/correlation-matrix,Correlation Matrix,No description provided,$0.005000,eip155:8453
http://x402.silverbackdefi.app/api/v1/arbitrage-scanner,Arbitrage Scanner,No description provided,$0.005000,eip155:8453
https://padelmaps.org/api/x402-tools/news/search,Search,Search news articles,$0.010000,base
https://brown-voluntary-aardwolf-402.mypinata.cloud/x402/cid/bafkreibzmugzf5b4u3hn7ueovomqfsypnsf6u67ckmtqwefjg6i3ndwvqq,Cid,Payment of 10000 USDC for Test Premium Content,$0.010000,base-sepolia
https://capable-grace-production-ab1c.up.railway.app/data/narratives,Narratives,No description provided,$0.010000,eip155:8453
https://capable-grace-production-ab1c.up.railway.app/alpha/overnight,Overnight,No description provided,$0.010000,eip155:8453
https://padelmaps.org/api/x402-tools/crypto/price,Price,Get cryptocurrency price and market data,$0.010000,base
https://padelmaps.org/api/x402-tools/hackernews/top,Top,Get top Hacker News stories,$0.010000,base
https://pay.lnpay.ai/resource,Resource,Access to protected resource,$0.010000,base
https://brown-voluntary-aardwolf-402.mypinata.cloud/x402/cid/bafkreihvajece2u7gnp7vdmuyrpj5btogxedzssfr4auh3lje527h6rztu,Cid,Payment of 10000 USDC for Test Premium Content,$0.010000,base-sepolia
https://brown-voluntary-aardwolf-402.mypinata.cloud/x402/cid/bafkreicsgj2jc5pbjulciyltlnwhhwwgc2ufs4woqm2t2u2bm5zo5gsvmy,Cid,Payment of 10000 USDC for Payment for Circle Technology Services LLC - One-way NDA - Early Access Program NDA,$0.010000,base-sepolia
https://nanobrain-alpha.vercel.app/api/chat,Chat,Chat with NanoBrain AI,$0.010000,base
http://x402.silverbackdefi.app/api/v1/technical-analysis,Technical Analysis,No description provided,$0.010000,eip155:8453
https://nacian.finance/api/x402/pools/top-pools-by-tvl,Top Pools By Tvl,"Access top liquidity pools by TVL across multiple chains (Arbitrum, Base, Ethereum). Tokens do not necessarily need to be token0 and token1 respectively in the pool, they are reordered automatically.",$0.010000,base
https://brown-voluntary-aardwolf-402.mypinata.cloud/x402/cid/bafybeibk2qyibsbe5qrrp3pdqfo3h2azltj2hdnd5jwflspyg4ihblctw4,Cid,Payment of 20000 USDC for Payment for Web3Bridge Cohort XIV Curriculum,$0.020000,base-sepolia
https://capable-grace-production-ab1c.up.railway.app/alpha/executive,Executive,No description provided,$0.020000,eip155:8453
https://x402-cybercentry-quantum-cryptography-verification.up.railway.app/verify,Verify,Verify and encrypt data using the Cybercentry Quantum Cryptography Verification (CQCV) API with x402 payment protocol. Returns encrypted data with record ID and decryption URL,$0.020000,base
https://x402-cybercentry-private-data-verification.up.railway.app/verify,Verify,Verify any text data using the Cybercentry Private Data Verification (CPDV) API. Returns a proof_id for Zero-Knowledge Proof (ZKP) verification via the proxy endpoint,$0.020000,base
